DL10S0	0	4	0	1769.5145	0	1000
DL10S0SA1	0	4	1	2060.6099	0	1000
DL10S0SA1_EGS	0	4	1	2333.706	0	1000
DL10S0SA1_EGS_plus44	0	4	1	2377.7322200000003	0	1000
DL10S0SA1_S	0	4	1	2147.6419	0	1000
DL10S0SA1_SA	0	4	1	2218.679	0	1000
DL10S0SA1_SAN	0	4	1	2332.7219	0	1000
DL10S0SA1_SG	0	4	1	2204.6634	0	1000
DL10S0SA1_SG_plus44	0	4	1	2248.68962	0	1000
DL10S0_EGS	0	4	0	2042.6106	0	1000
DL10S0_EGS_plus44	0	4	0	2086.63682	0	1000
DL10S0_S	0	4	0	1856.5465	0	1000
DL10S0_SA	0	4	0	1927.5836	0	1000
DL10S0_SAN	0	4	0	2041.6265	0	1000
DL10S0_SG-or-dp10S0_NRE	0	4	0	1913.568	0	1000
DL10S0_SG_plus44	0	4	0	1957.59422	0	1000
DL10S1	1	4	0	1849.4713	0	1000
DL10S1SA1	1	4	1	2140.5667	0	1000
DL10S1SA1_EGS	1	4	1	2413.6628	0	1000
DL10S1SA1_EGS_plus44	1	4	1	2457.6890200000003	0	1000
DL10S1SA1_S	1	4	1	2227.5987	0	1000
DL10S1SA1_SA	1	4	1	2298.6358	0	1000
DL10S1SA1_SAN	1	4	1	2412.6787	0	1000
DL10S1SA1_SG	1	4	1	2284.6202	0	1000
DL10S1SA1_SG_plus44	1	4	1	2328.64642	0	1000
DL10S1_EGS	1	4	0	2122.5674	0	1000
DL10S1_EGS_plus44	1	4	0	2166.59362	0	1000
DL10S1_S	1	4	0	1936.5033	0	1000
DL10S1_SA	1	4	0	2007.5404	0	1000
DL10S1_SAN	1	4	0	2121.5833	0	1000
DL10S1_SG-or-dp10S1_NRE	1	4	0	1993.5248	0	1000
DL10S1_SG_plus44	1	4	0	2037.5510199999999	0	1000
DL10S2	2	4	0	1929.4281	0	1000
DL10S2SA1	2	4	1	2220.5235	0	1000
DL10S2SA1_EGS	2	4	1	2493.6196	0	1000
DL10S2SA1_EGS_plus44	2	4	1	2537.64582	0	1000
DL10S2SA1_S	2	4	1	2307.5555	0	1000
DL10S2SA1_SA	2	4	1	2378.5926	0	1000
DL10S2SA1_SAN	2	4	1	2492.6355	0	1000
DL10S2SA1_SG	2	4	1	2364.577	0	1000
DL10S2SA1_SG_plus44	2	4	1	2408.6032200000004	0	1000
DL10S2_EGS	2	4	0	2202.5242	0	1000
DL10S2_EGS_plus44	2	4	0	2246.55042	0	1000
DL10S2_S	2	4	0	2016.4601	0	1000
DL10S2_SA	2	4	0	2087.4972	0	1000
DL10S2_SAN	2	4	0	2201.5401	0	1000
DL10S2_SG-or-dp10S2_NRE	2	4	0	2073.4816	0	1000
DL10S2_SG_plus44	2	4	0	2117.5078200000003	0	1000
DL10S3	3	4	0	2009.3849	0	1000
DL10S3SA1	3	4	1	2300.4803	0	1000
DL10S3SA1_EGS	3	4	1	2573.5764	0	1000
DL10S3SA1_EGS_plus44	3	4	1	2617.60262	0	1000
DL10S3SA1_S	3	4	1	2387.5123	0	1000
DL10S3SA1_SA	3	4	1	2458.5494	0	1000
DL10S3SA1_SAN	3	4	1	2572.5923	0	1000
DL10S3SA1_SG	3	4	1	2444.5338	0	1000
